Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,CAD Draftsman (Traffic Management Designer),Civil Engineering/Construction,Pleco Pilipinas Incorporated,2021-05-24,Pasig City,Not Specified,,Not Specified / In Description,Not Specified / In Description,"The primary objective is to develop superior risk management controls that ensure the safety of all stakeholders working on or near traffic. We do this with Traffic Management Plans, and Emergency Response Plans. The ideal candidate should have the following characteristics: Knowledgeable with RapidPlan basics - draw roads, add signs, implement distances, and use standard templates, as well as understand and utilise layers, icons, notes, and references. Must be knowledgeable on AutoCAD fundamentals demonstrating the ability to draw a basic road layout. Effectively use mapping tools (i.e. Google Earth, Street Directories, and Nearmap) to scope work area locations - understand mapping and topography and be able to look up latitude and longitude. Office 365 skills with a focus toward Outlook, Word, and Excel. Must be able to enter job data into tracking spreadsheet. Understand the need for standards and be able to lookup, apply, and reference standards and regulations. Understand the need for hazard control and prepare a basic risk assessment for a worksite. Demonstrated analytical, problem-solving, and interpersonal skills. Have a keen attention to detail and accurately reference provided legislative requirements and technical manuals. Must be able to work in a team environment Can take client instructions and information and implement into risk controls. ",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Team Leaders/Riggers/Rigger Drivers,Civil Engineering/Construction,Lancesoft Inc,2021-05-21,Taguig,Not Specified,,Not Specified / In Description,Not Specified / In Description,"We're looking for Riggers/Rigger Drivers and Team Leaders Requirements: 1) Rigger -active driver's license -wireless telecom experience -installation -integration testing Willing to relocate South Luzon/South NCR 2) Driver -active driver's license -experience as a rigger driver Willing to relocate South Luzon/South NCR 3) FSO Team Lead -must have wireless telecom and cell site experience -end to end process experience in RBS installation, commissioning, testing and integration. -preferably with at least 6mos Ericsson experience and training -can lead 3 riggers on site -preferably with active driver's license Willing to relocate South Luzon/South NCR Perks: With mobile allowance With daily meal allowance With daily accommodation allowance Send your resume at [email protected]",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Site Engineer,Civil Engineering/Construction,Domaintricks Corporation,2021-05-10,Makati,Not Specified,,Not Specified / In Description,Not Specified / In Description,SITE ENGINEER - AC POWER PROJECT Qualifications: 1. Bachelor's Degree in Electrical Engineering or any equivalent courses 2. Experience in AC Power Project is required for the position 3. Must have driver's license 4. Willing to travel for site assignments 5. Good in documentation with great attention to detail Area of Assignment: 1. (2) South Luzon - for Masbate and Catanduanes area 2. (2) Mindanao 3. (2) Visayas - for Panay and Negros Island area 4. (3) NCR 5. (1) Palawan,Not Specified,Not Specified,Not Specified,Not Specified,Engineering
